节点ID,节点类型,节点标签,节点颜色
JOB_001,Job,具身智能算法工程师,#FF9999
强化学习,Skill,强化学习,#99CCFF
PyTorch,Skill,PyTorch,#99CCFF
ROS,Skill,ROS,#99CCFF
智能硬件,Industry,智能硬件,#99FF99
硕士及以上,Degree,硕士及以上,#FFFF99
JOB_002,Job,机器学习工程师,#FF9999
机器学习,Skill,机器学习,#99CCFF
Python,Skill,Python,#99CCFF
TensorFlow,Skill,TensorFlow,#99CCFF
互联网,Industry,互联网,#99FF99
本科及以上,Degree,本科及以上,#FFFF99
JOB_003,Job,数据科学家,#FF9999
数据分析,Skill,数据分析,#99CCFF
统计学,Skill,统计学,#99CCFF
金融科技,Industry,金融科技,#99FF99
JOB_004,Job,AI研究员,#FF9999
深度学习,Skill,深度学习,#99CCFF
算法研究,Skill,算法研究,#99CCFF
论文发表,Skill,论文发表,#99CCFF
科研机构,Industry,科研机构,#99FF99
博士,Degree,博士,#FFFF99
JOB_005,Job,深度学习工程师,#FF9999
模型优化,Skill,模型优化,#99CCFF
人工智能,Industry,人工智能,#99FF99
JOB_006,Job,计算机视觉工程师,#FF9999
计算机视觉,Skill,计算机视觉,#99CCFF
OpenCV,Skill,OpenCV,#99CCFF
目标检测,Skill,目标检测,#99CCFF
智能安防,Industry,智能安防,#99FF99
JOB_007,Job,自然语言处理工程师,#FF9999
NLP,Skill,NLP,#99CCFF
Transformer,Skill,Transformer,#99CCFF
文本分类,Skill,文本分类,#99CCFF
JOB_008,Job,强化学习工程师,#FF9999
Gym,Skill,Gym,#99CCFF
策略优化,Skill,策略优化,#99CCFF
游戏科技,Industry,游戏科技,#99FF99
JOB_009,Job,机器人工程师,#FF9999
机器人,Skill,机器人,#99CCFF
运动控制,Skill,运动控制,#99CCFF
智能制造,Industry,智能制造,#99FF99
JOB_010,Job,AI产品经理,#FF9999
产品管理,Skill,产品管理,#99CCFF
AI应用,Skill,AI应用,#99CCFF
用户体验,Skill,用户体验,#99CCFF
JOB_011,Job,自然语言处理算法工程师,#FF9999
BERT,Skill,BERT,#99CCFF
JOB_012,Job,计算机视觉算法工程师,#FF9999
图像分割,Skill,图像分割,#99CCFF
安防/自动驾驶,Industry,安防/自动驾驶,#99FF99
JOB_013,Job,语音识别算法工程师,#FF9999
Kaldi,Skill,Kaldi,#99CCFF
WeNet,Skill,WeNet,#99CCFF
端到端,Skill,端到端,#99CCFF
智能语音,Industry,智能语音,#99FF99
JOB_014,Job,推荐算法工程师,#FF9999
协同过滤,Skill,协同过滤,#99CCFF
DeepFM,Skill,DeepFM,#99CCFF
多目标优化,Skill,多目标优化,#99CCFF
电商/内容平台,Industry,电商/内容平台,#99FF99
JOB_015,Job,搜索算法工程师,#FF9999
倒排索引,Skill,倒排索引,#99CCFF
语义检索,Skill,语义检索,#99CCFF
排序学习,Skill,排序学习,#99CCFF
JOB_016,Job,广告算法工程师,#FF9999
CTR预估,Skill,CTR预估,#99CCFF
出价策略,Skill,出价策略,#99CCFF
实时竞价,Skill,实时竞价,#99CCFF
广告技术,Industry,广告技术,#99FF99
JOB_017,Job,多模态算法工程师,#FF9999
CLIP,Skill,CLIP,#99CCFF
多模态融合,Skill,多模态融合,#99CCFF
跨模态检索,Skill,跨模态检索,#99CCFF
AI大模型,Industry,AI大模型,#99FF99
JOB_018,Job,大模型算法工程师（LLM）,#FF9999
GPT,Skill,GPT,#99CCFF
RLHF,Skill,RLHF,#99CCFF
LoRA,Skill,LoRA,#99CCFF
JOB_019,Job,AIGC算法工程师,#FF9999
Diffusion,Skill,Diffusion,#99CCFF
VAE,Skill,VAE,#99CCFF
Stable Diffusion,Skill,Stable Diffusion,#99CCFF
AIGC/元宇宙,Industry,AIGC/元宇宙,#99FF99
JOB_020,Job,AI Agent算法工程师,#FF9999
规划,Skill,规划,#99CCFF
记忆,Skill,记忆,#99CCFF
工具调用,Skill,工具调用,#99CCFF
JOB_021,Job,MLOps工程师,#FF9999
Kubeflow,Skill,Kubeflow,#99CCFF
MLflow,Skill,MLflow,#99CCFF
CI/CD,Skill,CI/CD,#99CCFF
企业服务,Industry,企业服务,#99FF99
JOB_022,Job,AI平台开发工程师,#FF9999
Kubernetes,Skill,Kubernetes,#99CCFF
GPU调度,Skill,GPU调度,#99CCFF
分布式训练,Skill,分布式训练,#99CCFF
互联网/AI基础设施,Industry,互联网/AI基础设施,#99FF99
JOB_023,Job,推理优化工程师,#FF9999
TensorRT,Skill,TensorRT,#99CCFF
模型量化,Skill,模型量化,#99CCFF
剪枝,Skill,剪枝,#99CCFF
AI芯片/云服务,Industry,AI芯片/云服务,#99FF99
JOB_024,Job,数据工程专家,#FF9999
Spark,Skill,Spark,#99CCFF
Flink,Skill,Flink,#99CCFF
数据湖,Skill,数据湖,#99CCFF
互联网/金融,Industry,互联网/金融,#99FF99
JOB_025,Job,AI芯片设计工程师,#FF9999
RISC-V,Skill,RISC-V,#99CCFF
NPU,Skill,NPU,#99CCFF
Verilog,Skill,Verilog,#99CCFF
半导体,Industry,半导体,#99FF99
JOB_026,Job,AI编译器工程师,#FF9999
TVM,Skill,TVM,#99CCFF
MLIR,Skill,MLIR,#99CCFF
LLVM,Skill,LLVM,#99CCFF
AI芯片/云计算,Industry,AI芯片/云计算,#99FF99
JOB_027,Job,嵌入式AI工程师,#FF9999
ARM,Skill,ARM,#99CCFF
RTOS,Skill,RTOS,#99CCFF
TFLite Micro,Skill,TFLite Micro,#99CCFF
物联网/消费电子,Industry,物联网/消费电子,#99FF99
JOB_028,Job,机器人算法工程师（感知）,#FF9999
点云处理,Skill,点云处理,#99CCFF
传感器融合,Skill,传感器融合,#99CCFF
SLAM,Skill,SLAM,#99CCFF
机器人/自动驾驶,Industry,机器人/自动驾驶,#99FF99
JOB_029,Job,机器人算法工程师（控制）,#FF9999
MPC,Skill,MPC,#99CCFF
PID,Skill,PID,#99CCFF
运动规划,Skill,运动规划,#99CCFF
JOB_030,Job,自动驾驶感知算法工程师,#FF9999
BEV感知,Skill,BEV感知,#99CCFF
3D检测,Skill,3D检测,#99CCFF
自动驾驶,Industry,自动驾驶,#99FF99
JOB_031,Job,自动驾驶决策规划算法工程师,#FF9999
行为预测,Skill,行为预测,#99CCFF
路径规划,Skill,路径规划,#99CCFF
JOB_032,Job,金融AI算法工程师,#FF9999
风控模型,Skill,风控模型,#99CCFF
时序预测,Skill,时序预测,#99CCFF
图神经网络,Skill,图神经网络,#99CCFF
JOB_033,Job,医疗AI算法工程师,#FF9999
医学影像,Skill,医学影像,#99CCFF
病历分析,Skill,病历分析,#99CCFF
辅助诊断,Skill,辅助诊断,#99CCFF
智慧医疗,Industry,智慧医疗,#99FF99
JOB_034,Job,智慧城市算法工程师,#FF9999
交通流预测,Skill,交通流预测,#99CCFF
视频结构化,Skill,视频结构化,#99CCFF
异常检测,Skill,异常检测,#99CCFF
智慧城市/政府项目,Industry,智慧城市/政府项目,#99FF99
JOB_035,Job,工业AI算法工程师,#FF9999
缺陷检测,Skill,缺陷检测,#99CCFF
预测性维护,Skill,预测性维护,#99CCFF
工业视觉,Skill,工业视觉,#99CCFF
工业制造,Industry,工业制造,#99FF99
JOB_036,Job,高级数据标注专家（AI训练师）,#FF9999
数据标注,Skill,数据标注,#99CCFF
质量控制,Skill,质量控制,#99CCFF
指令微调,Skill,指令微调,#99CCFF
数据服务,Industry,数据服务,#99FF99
JOB_037,Job,数据标注项目经理,#FF9999
项目管理,Skill,项目管理,#99CCFF
人员管理,Skill,人员管理,#99CCFF
标注平台,Skill,标注平台,#99CCFF
数据服务/众包平台,Industry,数据服务/众包平台,#99FF99
JOB_038,Job,AI数据治理工程师,#FF9999
数据血缘,Skill,数据血缘,#99CCFF
数据质量,Skill,数据质量,#99CCFF
隐私计算,Skill,隐私计算,#99CCFF
金融/互联网,Industry,金融/互联网,#99FF99
JOB_039,Job,AI产品经理（算法方向）,#FF9999
需求分析,Skill,需求分析,#99CCFF
模型评估,Skill,模型评估,#99CCFF
产品设计,Skill,产品设计,#99CCFF
互联网/AI公司,Industry,互联网/AI公司,#99FF99
JOB_040,Job,AI解决方案架构师,#FF9999
售前支持,Skill,售前支持,#99CCFF
系统设计,Skill,系统设计,#99CCFF
技术选型,Skill,技术选型,#99CCFF
企业服务/云厂商,Industry,企业服务/云厂商,#99FF99
JOB_041,Job,AI技术总监,#FF9999
团队管理,Skill,团队管理,#99CCFF
技术战略,Skill,技术战略,#99CCFF
跨部门协作,Skill,跨部门协作,#99CCFF
AI公司/大厂,Industry,AI公司/大厂,#99FF99
JOB_042,Job,AI研究员（博士）,#FF9999
顶会论文,Skill,顶会论文,#99CCFF
基础研究,Skill,基础研究,#99CCFF
算法创新,Skill,算法创新,#99CCFF
研究院/大厂AI Lab,Industry,研究院/大厂AI Lab,#99FF99
JOB_043,Job,知识图谱算法工程师,#FF9999
图嵌入,Skill,图嵌入,#99CCFF
知识推理,Skill,知识推理,#99CCFF
Neo4j,Skill,Neo4j,#99CCFF
JOB_044,Job,图神经网络算法工程师,#FF9999
GCN,Skill,GCN,#99CCFF
GAT,Skill,GAT,#99CCFF
异构图,Skill,异构图,#99CCFF
AI制药/互联网,Industry,AI制药/互联网,#99FF99
JOB_045,Job,时间序列算法工程师,#FF9999
LSTM,Skill,LSTM,#99CCFF
Informer,Skill,Informer,#99CCFF
物联网/金融,Industry,物联网/金融,#99FF99
JOB_046,Job,AI安全算法工程师,#FF9999
对抗攻击,Skill,对抗攻击,#99CCFF
模型鲁棒性,Skill,模型鲁棒性,#99CCFF
隐私保护,Skill,隐私保护,#99CCFF
网络安全,Industry,网络安全,#99FF99
JOB_047,Job,联邦学习算法工程师,#FF9999
FATE,Skill,FATE,#99CCFF
分布式,Skill,分布式,#99CCFF
金融科技/隐私计算,Industry,金融科技/隐私计算,#99FF99
JOB_048,Job,AI测试开发工程师,#FF9999
模型验证,Skill,模型验证,#99CCFF
自动化测试,Skill,自动化测试,#99CCFF
鲁棒性,Skill,鲁棒性,#99CCFF
JOB_049,Job,AI运维开发工程师（AIOps）,#FF9999
监控,Skill,监控,#99CCFF
日志分析,Skill,日志分析,#99CCFF
云计算/企业服务,Industry,云计算/企业服务,#99FF99
JOB_050,Job,量化研究员（AI方向）,#FF9999
高频数据,Skill,高频数据,#99CCFF
因子挖掘,Skill,因子挖掘,#99CCFF
量化基金/对冲基金,Industry,量化基金/对冲基金,#99FF99
